ID,Roots,Glosses,Occurrences,Comments,LN Base,LN Sense,LN Gloss,LN Definition,LN Note,LN Tag,Categories,Examples,Exhaustive Examples,Level,Expansion Rule,Expansion Rule Status,Generic Thing-Thing Relationships,ParentID,Brief Gloss,Linguists Assistant
679859,sore,,16,,,0,a skin problem (John has a sore on his hand.),,,,o,,4|2|9|8|haveE|S4|9|5|6|appearA|A4|9|5|9|appearA|A4|9|5|12|haveE|S4|9|6|4|makeA|P4|9|6|5|makeA|P4|9|6|11|containA|P4|9|6|11|makeA|P4|9|6|17|sendA|P4|9|6|17|beB|A4|9|6|17|sendA|P4|10|3|29|haveE|S4|42|16|20|beE|A4|42|16|21|lickA|P4|42|16|21|beF|A7|2|2|12|appearA|A,2,,0,,143,,1
679861,Sotai,,1,,,0,a man's name,,,,,,4|16|7|57|beM|S,4,,0,,,,0
679863,sound,,23,,,0,a sound,,,,o,,4|2|4|11|hearA|P4|2|19|16|beE|A4|2|19|19|becomeA|A4|2|20|18|hearA|P4|10|5|24|hearA|P4|10|5|24|beF|A4|10|5|24|sound-likeC|A4|16|4|20|hearA|P4|27|3|5|hearA|P4|27|3|7|hearA|P4|27|3|10|hearA|P4|27|3|15|hearA|P4|27|3|15|hearA|P4|41|7|31|hearA|P4|41|7|32|hearA|P4|41|7|35|hearA|P4|41|7|37|hearA|P4|41|7|37|hearA|P4|41|8|18|hearA|P4|41|8|18|hearA|P4|41|9|25|hearA|P4|42|18|36|hearA|P4|42|18|36|makeA|P,1,,0,,132,,1
679865,space,,2,,,0,an area that's empty,,,,,,4|41|2|2|beE|A4|41|2|2|beE|A,1,,0,,,,0
679868,spice,,10,,,0,used in cooking or for annointing body for burial,,,,o,,4|1|37|25|carryA|P4|1|43|11|giveA|P4|2|25|6|receiveA|P4|2|25|6|makeA|I4|41|16|1|buyA|P4|41|16|1|putA|P4|42|23|56|mixA|P4|42|23|56|putA|P4|42|24|1|carryA|P4|42|24|1|gatherA|P,1,,0,,114,,1
679870,spirit,,95,,,0,a creature without a body,,,,,,4|41|1|21|orderA|P4|41|1|21|leaveB|A4|41|1|23|controlA|A4|41|1|25|commandA|P4|41|1|25|becomeA|A4|41|1|25|commandA|P4|41|1|25|talkA|A4|41|1|25|come-outA|A4|41|1|26|shakeB|A4|41|1|26|cry-outA|A4|41|1|26|come-outA|A4|41|1|27|commandA|P4|41|1|27|doA|A4|41|1|27|obeyB|A4|41|1|32|controlA|A4|41|1|34|orderA|P4|41|1|34|leaveB|A4|41|1|34|allowA|P4|41|1|34|speakA|A4|41|1|34|knowA|A4|41|3|11|controlA|A4|41|3|11|seeA|A4|41|3|11|controlA|A4|41|3|11|causeA|A4|41|3|12|warnA|P4|41|3|12|tellC|A4|41|3|15|commandA|P4|41|3|15|leaveB|A4|41|3|20|controlA|A4|41|3|22||X4|41|3|22|leaveB|A4|41|3|23|leaveB|A4|41|3|23|leaveB|A4|41|3|26|opposeA|P4|41|3|26|fightA|P4|41|3|30|haveD|S4|41|5|1|commandA|P4|41|5|1|leaveB|A4|41|5|2|controlA|A4|41|5|8|sayA|d4|41|5|8|controlA|A4|41|5|8|come-outA|D4|41|5|8|come-outA|D4|41|5|8|come-outA|A4|41|5|9|askE|P4|41|5|9||X4|41|5|9|answerA|A4|41|5|9||X4|41|5|9|beB|S4|41|5|10|ask/AbegC|A4|41|5|10|sendA|P4|41|5|12|say/CbegA|A4|41|5|12|sendA|P4|41|5|12|enterA|A4|41|5|13|allowA|P4|41|5|13|enterA|A4|41|5|13|come-outA|A4|41|5|13|enterA|A4|41|5|15|controlA|A4|41|5|16|controlA|A4|41|5|18|controlA|A4|41|6|7|commandA|P4|41|6|7|leaveB|A4|41|7|25|controlA|A4|41|7|26|commandA|P4|41|7|26|leaveB|A4|41|7|29|leaveB|A4|41|7|30|beF|A4|41|9|17|controlA|A4|41|9|17|letA|A4|41|9|18|attackC|A4|41|9|18|causeA|A4|41|9|18|leaveA|A4|41|9|20|seeA|A4|41|9|20|causeA|A4|41|9|22|causeA|A4|41|9|22|killA|A4|41|9|25|speak/ArebukeA|P4|41|9|25|sayA|d4|41|9|25|commandA|D4|41|9|25|causeA|A4|41|9|25|causeA|A4|41|9|25|commandA|P4|41|9|25|come-outA|A4|41|9|25|enterA|A4|41|9|26|cry-out/AscreamA|A4|41|9|26|shakeB|A4|41|9|26|come-outA|A4|41|9|28|leaveB|A4|41|9|29|leaveB|A4|41|9|29||X4|41|9|38|commandA|P4|41|9|38|leaveB|A4|41|9|38|commandA|P4|41|9|38|leaveB|A,1,,0,,,,0
679873,spouse,,1,,,0,husband or wife,,,,o,,4|2|20|14|beM|S,2,,0,,45,,1
679875,spring,,1,,,0,the season that follows winter,,,,,,4|10|11|1|goA|N,1,,0,,,,0
679877,square,,8,,,0,complex - a large open area where people in a town meet,,,,,,4|16|8|1|meetC|N4|16|8|1|beF|A4|16|8|3|standA|N4|16|8|3|beF|A4|16|8|16|makeA|N4|16|8|16|beF|A4|16|8|16|makeA|N4|16|8|16|beF|A,2,,0,,,,0
679880,staff,,53,,,0,"complex - a walking stick, or shepherd's stick, or a stick that someone carries routinely",,,,o,,4|1|38|18|giveB|P4|1|38|18|beF|A4|1|38|20|bringA|P4|1|38|20|giveA|P4|1|38|25|lookA|P4|1|38|26|seeA|P4|1|38|26|seeA|P4|1|38|26|belongA|A4|1|47|31|leanA|N4|1|49|10|haveA|S4|2|4|3|throwD|P4|2|4|3|throwD|P4|2|4|3|changeA|A4|2|4|5|changeA|A4|2|4|17|takeA|P4|2|4|17|doA|I4|2|4|20|holdA|P4|2|7|8|becomeB|A4|2|7|9|throwD|P4|2|7|9|changeA|A4|2|7|10|throwD|P4|2|7|10|changeA|A4|2|7|12|throwD|P4|2|7|12|changeA|A4|2|7|12|eatA|A4|2|7|12|eatA|P4|2|7|15|takeA|P4|2|7|15|changeA|A4|2|7|17|hitC|I4|2|7|17|holdA|P4|2|7|19|holdA|P4|2|7|19|holdA|P4|2|7|20|liftA|P4|2|7|20|hitC|I4|2|8|5|holdA|P4|2|8|16|liftA|P4|2|8|16|hitA|I4|2|8|17|liftA|P4|2|8|17|hitA|I4|2|9|23|raiseA|P4|2|10|13|raiseA|P4|2|12|11|holdA|P4|2|14|16|raiseA|P4|2|17|5|takeA|P4|2|17|6|hitC|I4|2|17|9|holdA|P4|2|17|9|giveA|P4|2|21|19|walkA|I4|9|14|27||X4|9|14|43||X4|9|17|40|pick-upA|P4|19|23|4|comfortA|A4|42|9|3|takeA|P,2,,0,,99,,1
