ID,SyntacticCategory,FormName,RulesName,RuleType,Modification,RulesParsing,BaseForm,Morpheme,Status,Comment,InfixParsing,CommentFonts,TableComments,NameFonts,GrammarTopics,ExtraMorpheme,TriggerWords
22,3,Superlative,  Change y+est[Superlative] to i+est,1,3,0111est^^y^i,Current entry,Superlative,1,   angriest,,"4,11",,"10,10,12,14,32,32,34,36",33,,
23,3,Comparative,  Change e+e[Comparative] to +e,1,3,0111e^^e^,Current entry,Comparative,1,"   truer, truest",,"4,16",,"10,10,12,12,31,31",33,,
24,3,Superlative,  Change e+est[Superlative] to +est,1,3,0111est^^e^,Current entry,Superlative,1,   truest,,"4,9",,"10,10,12,14,33,35",33,,
25,1,Plural,  Select the Stem form for Mass nouns,2,0,",,,M,",Stem,,1,"   Mass nouns don't have a plural form, so we use the stem.  wheat, peace, sand, etc.",,"62,81",,,1,,
27,4,Comparative,  Add word more-Degree,0,4,",Y,",Stem,more,1,"   more carefully, more completely, more easily",,"4,47",,"12,15",,Degree,
28,4,Comparative,  Change y+e[Comparative] to i+e,1,3,0111e^^y^i,Current entry,Comparative,1,"   early, earlier",,"4,17",,"10,10,12,12,30,30,32,32",,,
29,4,Superlative,  Add suffix est-Superlative,0,1,",y,",Stem,est,1,"   hard, hardest; early, earliest",,"4,33",,"14,16",,Superlative,
30,4,Superlative,  Add word most-Degree,0,4,",Y,",Stem,most,1,"   most carefully, most completely, most easily",,"4,47",,"12,15",,Degree,
31,4,Superlative,  Change y+e[Superlative] to i+e,1,3,0111e^^y^i,Current entry,Superlative,1,"   early, earliest",,"4,18",,"10,10,12,12,30,30,32,32",,,
32,1,Plural,  Suppletive Plural Forms,5,3,1217>|<1|1|>|<2|150||birthdays|~!!~77>|<1|1|>|<2|150||boys|~!!~972>|<1|1|>|<2|150||cattle|~!!~99>|<1|1|>|<2|150||children|~!!~354>|<1|1|>|<2|150||clothes|~!!~431>|<1|1|>|<2|150||daughters-in-law|~!!~44>|<1|1|>|<2|150||days|~!!~1151>|<1|1|>|<2|150||deer|~!!~420>|<1|1|>|<2|150||donkeys|~!!~482>|<1|1|>|<2|150||eunuchs|~!!~37>|<1|1|>|<2|150||fish|~!!~991>|<1|1|>|<2|150||flour|~!!~281>|<1|1|>|<2|150||feet|~!!~660>|<1|1|>|<2|150||grandchildren|~!!~521>|<1|1|>|<2|150||holidays|~!!~1141>|<1|1|>|<2|150||keys|~!!~763>|<1|1|>|<2|150||knives|~!!~602>|<1|1|>|<2|150||leaves|~!!~319>|<1|1|>|<2|150||lives|~!!~392>|<1|1|>|<2|150||loaves|~!!~1>|<1|1|>|<2|150||men|~!!~442>|<1|1|>|<2|150||mothers-in-law|~!!~822>|<1|1|>|<2|150||Nephilim|~!!~1150>|<1|1|>|<2|150||oxen|~!!~6>|<1|1|>|<2|150||people|~!!~21>|<1|1|>|<2|150||sheep|~!!~993>|<1|1|>|<2|150||sons-in-law|~!!~586>|<1|1|>|<2|150||stomachs|~!!~1153>|<1|1|>|<2|150||thieves|~!!~628>|<1|1|>|<2|150||teeth|~!!~62>|<1|1|>|<2|150||valleys|~!!~93>|<1|1|>|<2|150||wives|~!!~407>|<1|1|>|<2|150||wolves|~!!~119>|<1|1|>|<2|150||women|~!!~1670>|<1|1|>|<2|150||calves|~!!~2409>|<1|1|>|<2|150||cherubim|~!!~2415>|<1|1|>|<2|150||sheaves|~!!~2440>|<1|1|>|<2|150||valleys|~!!~2441>|<1|1|>|<2|150||valleys|~!!~2442>|<1|1|>|<2|150||valleys|~!!~2443>|<1|1|>|<2|150||valleys|~!!~2460>|<1|1|>|<2|150||valleys|~!!~2695>|<1|1|>|<2|150||fishermen|~!!~2721>|<1|1|>|<2|150||denarii|~!!~,Stem,,1,  ,,,"  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  Bible Stories 17:1  ~$~22,22~!!~  2 Samuel 22:11  ~$~18,18~!!~  Ruth 2:7  ~$~12,12~!!~  Genesis 14:3  ~$~16,16~!!~  ~$~~!!~  ~$~~!!~  ~$~~!!~  Genesis 37:14  ~$~17,17~!!~  ~$~~!!~  Mark 6:37  ~$~13,13~!!~",,,"1670,2409,2415,2440,2441,2442,2443,2460,2695,2721,",
